2000,9
2015,9
2002,8
2007,8
1986,8
2009,8
1978,8
1979,8
1974,8
1994,8
1973,8
1996,8
1998,8
1975,8
2013,8
1987,8
1984,8
1964,7
1963,7
2010,7
1981,7
1945,7
2011,7
1909,7
1989,7
1956,7
1977,7
1908,7
1969,7
2014,7
2016,7
1952,6
1995,6
2005,6
1992,6
1982,6
2001,6
1903,6
1997,6
1906,6
1983,6
1951,6
1967,6
2003,6
1988,6
2004,6
1991,6
1936,6
1949,6
1966,5
1971,5
2012,5
2008,5
1905,5
1927,5
1920,5
2017,5
1902,5
1939,5
1929,5
1953,5
1959,5
1921,5
1962,5
1922,5
1925,5
1968,5
1926,5
1923,5
1930,5
1950,5
1937,5
1960,5
1901,5
1999,5
1961,5
1980,5
1957,5
1970,5
1911,5
1904,5
1907,5
1933,4
1931,4
1919,4
1912,4
1938,4
1958,4
1948,4
1915,4
1947,4
1935,4
1965,4
1913,4
1910,4
1955,4
1944,4
1928,4
1990,4
1943,4
1985,4
2006,3
1972,3
1934,3
1954,3
1914,3
1924,3
1993,3
1932,3
1976,3
1917,2
1946,2
1918,2
1916,1
